,I,I,I,I,I,II,II,II,II,II,IV,IV,IV,IV,IV,V,V,V,V,V,VIII,VIII,VIII,VIII,VIII,X,X,X,X,X,XI,XI,XI,XI,XI,XIII,XIII,XIII,XIII,XIII,XV,XV,XV,XV,XV,XVIII,XVIII,XVIII,XVIII,XVIII,XXI,XXI,XXI,XXI,XXI,XXII,XXII,XXII,XXII,XXII
,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co,pm10,o3,no2,so2, co
2019-01-28,50,7, ,2,6,43,21, ,2,6,33,17, ,2,4,,,,,,32,15,20,4,10,30,14,20,1,11,30,3,20, ,7,29,7,12,4,6,13,11,18,1,10,32,9,20,1,11,45,10,20,1,10,32,18,20,1,10
2019-01-27,45,8, ,2,8,36,24, ,2,7,35,23, ,3,5,,,,,,29,18,23,4,11,30,24,18, ,10,32,5,22, ,8,30,8,11,4,8,23,16,19,1,12,44,12,18, ,10,39,12,18, ,11,30,18,22, ,11
2019-01-26,42,9, ,2,7,31,29, ,2,6,25,32, ,4,4,,,,,,26,26,15,5,10,28,35,7,1,9,24,7,16, ,7,23,9,11,5,7,22,27,11,1,9,42,24,7,1,9,29,21,7,1,9,23,29,16,1,9
2019-01-25,52,10, ,2,5,44,23, ,2,6,36,21, ,2,2,,,,,,39,18,12,5,9,32,20,9,1,9,31,6,10, ,6,30,10,9,5,5,19,16,12,1,8,28,15,9,1,9,37,17,9,1,6,29,20,10,1,6
2019-01-24,42,8,13,3,6,39,24, ,3,6,32,19, ,4,2,,,,,,35,14,15,5,9,30,17,12,2,10,28,5,11, ,7,29,8,9,5,6,25,11,13,1,9,37,12,12,2,10,35,15,12,2,8,27,17,11,2,8
2019-01-23,47,8,16,2,6,43,24, ,2,6,39,20, ,2,3,,,,,,40,14,18,4,10,35,16,15, ,10,32, ,14, ,7,32,8,11,4,6,23,13,13,1,10,29,10,15, ,10,47,13,15,3,8,33,19,14,3,8
2019-01-22,64,7,22,2,7,58,22, ,1,7,56,18, ,2,4,,,,,,59,13,20,3,11,45,19,15, ,11,47, ,19, ,8,48,7,12,3,7,27,13,15,1,12,42,12,15, ,11,56,12,15,3,9,45,16,19,3,9
2019-01-21,49,3,27,5,12,45,16,22,2,10,43,18, ,3,8,,,,,,35,12,27,4,12,40,20,20,1,11,32, ,27, ,9,36,3,15,4,12,40,12,23,2,17,57,14,20,1,11,48,15,20,3,10,39,15,27,3,10
2019-01-20,29,3,27,2,14,27,10,22,2,9,23,9, ,2,9,,,,,,21,9,28,4,12,24,12,23,1,10,19, ,28, ,9,21,3,15,4,14,29,9,22,1,15,52,13,23,1,10,34,9,23,3,13,23,10,28,3,13
2019-01-19,28,8,14,2,11,19,23,6,2,5,19,22, ,2,5,,,,,,20,18,14,3,9,18,22,12, ,8,16, ,15, ,6,18,8,9,3,11,17,19,11,1,9,35,14,12, ,8,21,15,12,3,9,16,19,15,3,9
2019-01-18,25,6,18,2,11,10,19,11,2,5,10,18, ,2,5,,,,,,15,15,16,3,8,10,21,12, ,8,10, ,16, ,5,9,6,10,3,11,15,16,15,1,9,23,16,12, ,8,13,17,12,3,8,10,19,16,3,8
2019-01-17,50,8,15,2,9,25,25,5,2,4,34,24, ,2,4,,,,,,40,20,13,3,7,22,22,12, ,8,34, ,14, ,5,32,8,10,3,9,7,18,13,1,6,18,17,12, ,8,31,19,12,3,9,25,21,14,3,9
2019-01-16,22,3,30,3,15,10,24,16,2,7,17,13, ,2,8,,,,,,10,8,27,4,11,15,12,14, ,9,16, ,28, ,10,17,3,14,4,15,21,7,23,2,13,32,7,14, ,9,25,12,14,3,12,15,15,28,3,12
2019-01-15,17,10,18,2,10,8,26,10,2,6,8,24, ,2,5,,,,,,11,22,16,4,8,6,23,13, ,8,7,11,15, ,6,5,10,10,4,10,12,21,13,2,8,15,18,13, ,8,9,19,13,3,11,5,25,15,3,11
2019-01-14,19,14,11,2,8,11,30,3,2,4,10,28, ,1,2,,,,,,11,26,9,3,6,8,28,7, ,9,10,21,8, ,4,7,14,6,3,8,4,24,7,1,5,13,22,7, ,9,14,25,7,3,6,7,26,8,3,6
2019-01-13,13,12,12,2,9,5,31,3,3,4,11,30, ,1,2,,,,,,8,27,9,3,7,14,29,8, ,10,11,21,8, ,3,11,12,6,3,9,5,25,9,2,6,14,23,8, ,10,18,26,8,3,7,16,28,8,3,7
2019-01-12,17,6,17,2,10,11,22,5,2,4,9,20, ,2,3,,,,,,8,16,15,3,8,14,16,10, ,10,10,14,10, ,4,11,6,10,3,10,7,16,11,2,7,18,13,10, ,10,18,14,10,3,10,19,19,10,3,10
2019-01-11,34,7,16,2,10,31,23,6,2,4,30,20, ,2,3,,,,,,27,16,15,4,7,22,17,11, ,11,18,12,13, ,4,20,7,9,4,10,8,15,12,1,7,16,13,11, ,11,30,15,11,3,8,19,18,13,3,8
2019-01-10,61,8,14,2,10,62,24,6,3,5,47,22, ,2,6,,,,,,46,17,16,4,8,41,18,13,1,12,40,13,12, ,5,36,8,9,4,10,21,15,16,1,12,28,14,13,1,12,60,19,13,3,10,36,20,12,3,10
2019-01-09,67,5,20,2,12,58,18,14,3,9,56,18, ,3,8,,,,,,55,13,23,4,11,52,19,19,1,11,54,7,20, ,7,50,5,13,4,12,32,12,22,2,16,48,12,19,1,11,65,10,19,4,15,51,14,20,4,15
2019-01-08,44,2,23,2,13,35,13,17,3,8,46,15, ,3,7,,,,,,38,8,26,4,12,41,14,20,1,10,33,1,27, ,9,32,2,14,4,13,42,9,22,2,16,68,7,20,1,10,48,6,20,3,13,42,6,27,3,13
2019-01-07,28,4,23,2,11,22,18,16,2,7,26,7, ,2,7,,,,,,26,7,25,3,11,29,13,14, ,9,22,6,19, ,7,19,4,12,3,11,33,7,23,1,15,49,13,14, ,9,36,13,14,3,10,30,9,19,3,10
2019-01-06,13,8,22,2,9,9,21,17,2,8,7,18, ,2,4,,,,,,9,16,23,4,8,7,19,23,1,8,7,15,21, ,6,6,8,13,4,9,21,14,18,1,11,35,16,23,1,8,9,16,23,3,12,6,17,21,3,12
2019-01-05,14,13,7,2,7,9,28,1,3,3,10,27, ,1,1,,,,,,8,23,7,3,5,14,26,9, ,6,10,20,5, ,3,10,13,6,3,7,4,23,5,1,4,11,20,9, ,6,12,23,9,3,6,14,27,5,3,6
2019-01-04,18,6,13,2,8,11,19,5,2,4,10,16, ,1,2,,,,,,11,14,13,3,7,10,17,9, ,6,10,11,10, ,4,10,6,8,3,8,9,11,14,1,7,16,14,9, ,6,15,15,9,2,7,13,16,10,2,7
2019-01-03,14,11,12,2,7,8,26,3,2,4,7,30, ,3,2,,,,,,8,23,11,3,6,5,24,10, ,5,6,18,10, ,3,6,11,8,3,7,7,22,10,1,5,14,19,10, ,5,9,24,10,2,6,5,23,10,2,6
2019-01-02,11,13,8,2,7,8,27,2,2,3,7,27, ,1,2,,,,,,9,23,7,3,5,5,26,7,1,5,7,20,6, ,3,5,13,6,3,7,3,23,6,1,4,10,21,7,1,5,11,27,7,2,3,6,24,6,2,3
2019-01-01,28,12,9,2,7,30,28,2,3,3,56,27, ,1,1,,,,,,35,25,7,3,5,28,27,5, ,5,24,20,6, ,3,20,12,5,3,7,3,23,6,1,4,8,21,5, ,5,45,25,5,2,5,22,26,6,2,5
2018-12-31, ,6,18,2,8, ,22,8,2,5, ,17, ,2,5,,,,,, ,14,19,3,7, ,16,13, ,4, ,13,14, ,5, ,6,11,3,8,25,10,17,1,11,47,14,13, ,4, ,15,13,2,9, ,18,14,2,9
2018-12-30,18, , , , ,14, , , , ,10,18, ,2,2,,,,,,9, , , , ,10, , , , ,8, , , , ,10, , , , , , , , , , , , , , ,18, , , , ,12, , , , 
2018-12-29,20,7,10,2,7,13,20,5,2,4,10,20, ,2,2,,,,,,11,16,10,3,6,11,17,12,1,10,9,12,9, ,3,11,7,9,3,5,8,14,9,1,6,16,12,10, ,3,14,14,7,2,8,11,17,9,2,4
2018-12-28,22,7,10,2,7,12,18,4,2,3,16,17, ,2,2,,,,,,15,15,8,3,6,15,17,10,1,10,30,11,8, ,3,14,7,7,3,5,8,15,8,1,5,12,13,8, ,4,19,15,6,2,8,15,17,7,2,3
2018-12-27,16,5,15,2,8,14,18,5,3,3,11,15, ,1,3,,,,,,10,11,15,3,7,15,13,16,1,11, ,8,13, ,4,13,5,12,3,6,11,11,11,1,6,20,8,13, ,4,19,12,10,3,9,15,14,11,3,4
2018-12-26,14,7,11,2,7,12,15,4,2,3,9,20, ,1,2,,,,,,8,12,14,3,7,10,13,16,1,12, ,13,13, ,4,10,7,9,3,5,10,12,9,1,6,18,9,13, ,2,7,4,13,3,9,10,15,10,3,4
2018-12-25,11,9,7,2,6,9,20,3,2,3,5,25, ,1,2,,,,,,12,17,7,3,5,6,19,7,1,10, ,17,6, ,2,6,9,6,3,5,7,16,6,1,5,12,16,6, ,2,7,17,5,2,5,6,19,5,2,2
2018-12-24,15,13,6,2,5,9,23,3,2,3,8,23, ,2,3,,,,,,9,21,6,3,5,8,24,6, ,10, ,21,5, ,2,8,13,5,3,5,4,21,5,1,5,7,19,5, ,2,17,23,3,2,5,11,23,5,2,3
2018-12-23,15,11,9,2,6,6,23,4,3,3,8,24, ,2,3,,,,,,7,18,9,3,6,8,22,11,1,10, ,19,8, ,3,5,11,10,3,5,5,18,8,1,6,15,16,7, ,3,18,21,5,3,6,13,21,8,3,3
2018-12-22,65,7,19,4,7,44,25,5,3,3,54,20, ,2,8,,,,,,59,20,15,3,6,33,22,18,1,8, ,20,14, ,3,34,7,14,3,5,5,19,11,2,5,12,15,12,1,4,69,19,10,3,8,35,22,11,3,3
2018-12-21,87,6,26,3,12,84,23,10,3,5,78,6, ,2,8,,,,,,71,15,22,4,10,62,12,23,2,15,70,16,20, ,7,58,6,24,4,10,26,15,18,2,15,53,8,16,1,8,85,10,19,4,12,67,12,19,4,7
2018-12-20,58,1,29,2,13,52,4,27,3,11,50,11, ,2,7,,,,,,50,4,27,4,12,41,9,23,1,16,48,4,26, ,10,39,1,26,4,12,52,5,23,1,20,88,7,19,1,8,56,9,21,3,12,45,10,22,3,10
2018-12-19,76,3,24,2,10,65,9,20,2,8,62,7, ,2,9,,,,,,65,7,21,3,10,56,12,18,1,13,65,7,22, ,8,54,3,20,3,10,31,9,17,1,15,57,7,14,1,6,69,9,16,3,9,54,11,19,3,8
2018-12-18,60,1,30,2,14,44,3,31,2,10,67,4, ,3,13,,,,,,68,3,33,4,14,65,9,28,1,16,66,2,34, ,13,57,1,29,4,14,46,5,26,1,24,68,5,25,1,14,80,7,20,3,13,63,7,27,3,11
2018-12-17,49, ,35,3,14,38,7,24,3,10,63,4, ,2,12,,,,,,58,1,49,6,18,54,3,42,2,21,44,2,41, ,14,44, ,39,6,17,48,1,30,1,28,71,1,36,2,10,62,1,32,4,16,52,2,33,4,14
2018-12-16,30,2,27,2,10,33,13,16,1,7,31,12, ,2,6,,,,,,27,2,31,4,12,32,4,31,1,15,25,4,27, ,12,25,2,26,4,11,41,2,27,1,23,48,2,24,1,5,45,4,26,3,8,35,4,26,3,11
2018-12-15,19,4,17,2,7,12,13,10, ,6,12,13, ,1,2,,,,,,14,8,21,3,8,14,8,21,1,10,11,10,17, ,8,14,4,17,3,7,23,5,18,1,14,25,6,17,1,3,18,8,18,2,5,15,13,15,2,6
2018-12-14,39,5,14,1,5,40,14,4, ,4,22,8, ,1,3,,,,,,35,8,14,3,5,24,11,11, ,6,23,9,12, ,6,25,5,14,3,5,11,9,12,1,7,16,7,11, ,2,29,7,14,2,2,22,11,10,2,3
2018-12-13,42,2,18,5,9,33,11,11, ,7,27,2, ,1,5,,,,,,49,3,16,3,7,35,6,15,1,8,32,4,17, ,8,34,2,14,3,7,17,3,13,1,10,34,4,14, ,3,46,3,17,2,2,40,5,17,2,5
2018-12-12,20, ,19,4,12,15,3,11, ,7,17,9, ,1,3,,,,,,21,1,19,4,10,21,2,17,1,10,14,2,20, ,10,17, ,15,4,9,25,1,13,1,14,49,1,16,1,8,25,1,19,3,8,19,2,19,3,9
2018-12-11,20,5,12,3,9,7,8,7, ,5,10,18, ,1,2,,,,,,10,7,12,3,5,9,8,13,1,8,9,7,12, ,6,6,5,9,3,7,12,5,11,1,8,22,5,10,1,5,11,6,11,2,4,9,8,10,2,7
2018-12-10,21,11,20,3,8,8,20,6, ,3,11,25, ,1,3,,,,,,12,18,19,6,4,10,17,20,1,6,10,16,14, ,5,5,11,12,6,8,5,13,13,1,5,14,13,15, ,3,14,15,13,2,2,8,19,11,2,5
2018-12-09,24,12,18,3,8,8,27,3, ,3,20,9, ,2,5,,,,,,17,21,16,6, ,18,24,13,1,6,16,19,13, ,5,15,12,10,6,8,6,20,11,1,6,21,20,11,1,3,28,22,9,2,2,19,24,9,2,4
2018-12-08,51,5,22,3,11,44,22,6,1,4,33,13, ,2,5,,,,,,39,7,28,6, ,34,10,17,1,9,34,9,17, ,7,30,5,19,6,11,12,6,17,1,9,23,9,10, ,4,44,8,13,2,4,31,9,17,2,6
2018-12-07,55,6,18,3,10,44,18,8,1,5,45,6, ,3,5,,,,,,48,5,25,6, ,39,6,17,2,9,40,5,20, ,8,40,6,16,6,10,22,8,14,1,9,44,5,14,1,5,48,7,15,2,5,37,11,16,2,6
2018-12-06,46,4,24,3,10,35,10,15,1,6,50,6, ,2,8,,,,,,57,6,32,7,1,37,9,18,2,9,31,7,19, ,7,38,4,20,7,10,31,6,18,1,11,34,9,13,1,5,44,9,16,2,5,29,8,18,2,6
2018-12-05,29,2,32,4,10,19,8,21,1,6,29,21, ,2,4,,,,,,24,5,41,6,3,18,13,24,1,12,18,5,28, ,7,16,2,27,6,10,33,8,21,1,16,26,12,20,1,6,29,11,25,2,6,13,10,25,2,7
2018-12-04,56,11,19,3,7,44,20,8,1,4,39,11, ,2,7,,,,,,47,15,26,6, ,36,19,18,1,7,35,14,17, ,5,36,11,15,6,7,14,15,15,1,7,9,14,17,1,5,45,19,14,2,4,32,20,14,2,4
2018-12-03,52,5,17,4,11,48,13,9,2,6,44,7, ,2,6,,,,,,41,6,26,6,2,46,8,15,1,8,43,7,17, ,8,42,5,16,6,11,28,6,14,1,13,44,5,12,1,5,55,8,14,3,6,41,10,14,3,7
2018-12-02,52,2,16,3,10,56,9,12,2,8,37,13, ,3,4,,,,,,36,1,21,6,11,34,7,14,2,9,34,4,19, ,8,33,2,15,6,10,34,3,14,2,13,44,4,12,2,5,40,3,16,3,6,29,3,20,3,7
2018-12-01,45,4,16,3,7,51,12,9,2,5,34,7, ,2,4,,,,,,35,10,14,7,8,31,15,8,2,6,31,6,16, ,6,36,4,11,7,7,25,12,8,1,6,43,12,6,1,1,38,12,9,2,1,29,13,9,2,4
2018-11-30,39,3,18,3,7,27,11,12,1,5,22,12, ,2,3,,,,,,28,7,17,6,8,20,11,13,2,6,21,7,15, ,6,23,3,16,6,7,24,7,14,1,6,44,11,8,1, ,27,10,12,2,1,19,9,12,2,4
2018-11-29,40,5,18,3,6,29,15,11,1,4,26,13, ,1,3,,,,,,32,11,17,6,7,23,14,13,1,5,24,12,16, ,5,24,5,15,6,6,15,12,11, ,5,31,13,6, ,5,29,16,12,2,2,19,16,12,2,3
2018-11-28,25,6,18,3,6,14,18,12,1,4,17,24, ,1,2,,,,,,25,10,18,5,7,14,14,13, ,5,14,11,18, ,5,15,6,16,5,6,17,12,12, ,5,37,11,12,1,6,20,13,15,2,3,13,14,13,2,3
2018-11-27,10,12,19,3,6,6,28,6,1,3,5,19, ,1,2,,,,,,11,20,20,5,7,6,26,15, ,5,6,18,17, ,4,5,12,19,5,5,10,18,17, ,6,38,20,14,1,6,8,23,16,2,5,5,23,13,2,3
2018-11-26,15,8,13,2,6,7,23,3,2,3,8,14, ,2,3,,,,,,9,12,13,5,6,6,18,9, ,3,9,13,11, ,4,7,8,12,5,4,4,13,9, ,5,11,11,9, ,6,9,13,11,1,4,5,17,9,1,2
2018-11-25,30,4,14,3,7,24,16,4,2,4,25,5, ,2,4,,,,,,22,10,14,5,7,22,16,9,1,3,24,7,16, ,5,23,4,13,5,5,3,9,9,1,5,10,10,7, ,6,37,11,9,1,5,21,12,10,1,3
2018-11-24,32,1,10,3,8,24,6,6,2,4,23,11, ,5,3,,,,,,21,2,12,5,8,20,7,8,1,4,23,2,13, ,6,22,1,10,5,6,18,3,8,1,7,33,4,6,1,7,31,3,9,2,6,20,3,11,2,4
2018-11-23,37,4,13,3,7,23,11,8,2,4,22,9, ,2,3,,,,,,25,10,13,7,7,22,12,9,4,3,21,8,12, ,5,21,4,9,7,4,16,9,7,1,6,24,9,5,1,6,27,9,7,2,6,18,13,7,2,3
2018-11-22,34,2,15,3,7,22,4,7,1,4,24,3, ,2,4,,,,,,24,6,15,6,7,21,10,11,2,3,21,7,12, ,5,21,2,13,6,4,16,8,8, ,6,32,8,6,1,6,27,8,8,2,6,17,10,9,2,2
2018-11-21,21,1,15,3,7,15,3,11,1,5,22,12, ,4,4,,,,,,18,2,16,6,8,15,5,12,1,3,16,2,13, ,5,15,1,12,6,4,16,3,10, ,7,30,4,7, ,6,15,4,10,2,7,15,5,10,2,3
2018-11-20,21,3,18,3,7,20,11,12,1,4,15,14, ,1,2,,,,,,19,9,18,5,7,13,12,13, ,3,13,6,17, ,5,14,3,15,5,3,11,9,11, ,6,18,8,9, ,5,18,8,11,2,5,13,10,12,2,2
2018-11-19,32,4,16,3,5,30,15,7,1,3,24,14, ,2,3,,,,,,28,12,11,5,6,22,16,7, ,2,21,7,16, ,4,22,4,10,5,4,9,12,5, ,4,22,10,6, ,5,29,10,7,1,4,19,11,9,1,2
2018-11-18,34,5,18,3,5,32,16,9,1,4,30,18, ,2,3,,,,,,31,11,17,5,6,27,15,12,5,7,25,9,19, ,4,26,5,15,5,5,16,10,11, ,5,33,10,10, ,5,36,11,11,1,5,23,13,12,1,2
2018-11-17,29,7,17,3,5,18,21,11,2,5,24,23, ,2,3,,,,,,26,15,20,6,7,14,21,14,3,12,16,12,18, ,5,18,7,16,6,5,22,15,14, ,8,25,16,11,1,5,21,17,14,2,6,11,18,14,2,2
2018-11-16,34,9,19,3,5,16,27,8,1,4,21,16, ,2,2,,,,,,42,20,21,6,6,16,27,12,3,11,15,14,20, ,4,17,9,18,6,5,16,21,16, ,7,12,21,13,1,5,23,26,15,2,5,10,24,12,2,1
2018-11-15,39,6,22,3,6,26,20,7,2,3,28,11, ,2,3,,,,,,35,13,24,6,7,23,19,18,3,12,25,11,20, ,4,27,6,21,6,5,14,14,18,1,7,15,14,14,1,5,31,17,18,2,6,16,18,15,2,1
2018-11-14,40,2,24,3,7,27,16,15,1,6,24,12,5,2,3,,,,,,24,5,28,5,8,17,10,26,3,12,17,6,26, ,6,19,2,25,5,6,21,4,22, ,7,33,8,22,1,6,26,5,25,3,6,15,13,22,3,2
2018-11-13,65,6,15,3,5,58,20,6,1,3,53,18,15,3,7,,,,,,61,16,14,5,6,50,18,14,3,11,52,11,13, ,4,52,6,12,5,4,13,16,12, ,4,31,14,12,1,4,57,17,10,2,5,49,19,9,2,1
2018-11-12,66,3,23,4,7,59,15,17,2,5,53,11,16,2,8,,,,,,60,13,25,7,8,50,22,18,6,12,53,6,26, ,6,54,3,23,7,6,44,16,18,1,8,59,16,16,4,6,61,16,17,8,8,44,22,19,8,10
2018-11-11,59,1,22,5,12,58,10,14,2,7,41,8,9,2,7,,,,,,46,7,27,6,11,43,17,21,4,14,44,3,27, ,8,42,1,24,6,8,44,9,17, ,12,64,14,15,2,7,52,6,19,4,11,37,17,22,4,14
2018-11-10,59,2,15,3,14,53,6,9,2,7,41,10,13,2,7,,,,,,44,5,18,5,9,38,11,17,3,13,43,4,16, ,6,45,2,17,5,6,34,5,12, ,10,55,8,12,1,7,51,8,14,3,8,34,15,15,3,13
2018-11-09,60,2,20,3,14,50,9,12,2,7,52,9,24,2,10,,,,,,63,9,20,5,9,46,14,16,3,12,50,5,22, ,7,53,2,21,5,6,33,10,13, ,12,52,11,11,1,6,56,12,13,3,8,41,17,15,3,12
2018-11-08,55,2,26,3,15,47,12,14,2,7,49,8,24,3,9,,,,,,53,10,29,6,13,40,16,21,3,15,47,6,26, ,9,47,2,30,6,10,41,10,18,1,14,59,13,18,1,8,51,12,21,4,10,31,17,23,4,15
2018-11-07,57,2,24,3,13,42,8,14,2,7,40,16,17,2,7,,,,,,47,8,31,7,13,31,14,22,4,15,38,7,29, ,10,38,2,29,7,8,36,8,20,1,13,49,12,18,2,8,42,12,17,4,10,24,17,20,4,13
2018-11-06,57,5,26,3,14,59,15,13,2,5,38,15,18,2,7,,,,,,47,11,24,8,11,32,20,16,3,11,35,1,23, ,8,42,5,24,8,6,28,16,17, ,9,45,15,12,1,5,41,15,12,3,7,26,20,14,3,11
2018-11-05,254,5,26,3,13,31,16,15,2,4,39,13,18,2,7,,,,,,50,11,26,6,10,30,22,15,4,10,34, ,22, ,8,40,5,26,6,6,29,17,17, ,8,46,17,14,1,6,46,17,14,4,7,23,22,14,4,11
2018-11-04,44,4,29,3,12,32,21,16,2,4,38,20,14,3,6,,,,,,42,10,27,6,11,29,23,17,4,11,33, ,23, ,8,34,4,27,6,8,27,15,16, ,7,45,18,16,1,6,42,10,16,3,8,21,24,15,3,11
2018-11-03,55,8,22,3,11,46,24,9,2,3,44,16,12,3,5,,,,,,51,18,20,6,11,35,26,17,5,10,43,6,20, ,8,40,8,21,6,6,26,19,13,1,6,43,24,13,2,6,54,22,14,4,7,28,27,13,4,11
2018-11-02,67,6,18,3,10,62,17,7,3,4,57,11,14,2,6,,,,,,65,9,22,5,10,42,21,14,5,10,53,5,17, ,7,49,6,20,5,6,31,12,14,1,7,37,15,12,3,6,61,14,12,4,8,34,19,13,4,11
2018-11-01,45,4,18,3,10,37,13,9,2,4,43,19,12,2,5,,,,,,46,8,19,5,11,38,17,11,4,10,39,2,18, ,8,37,4,20,5,6,39,9,14, ,7,52,11,11,1,6,38,10,12,3,7,26,17,14,3,11
2018-10-31,39,8,21,3,10,18,21,10,2,4,24,24,22,2,6,,,,,,39,14,23,5,10,13,21,19,4,10,31,7,19, ,6,22,8,21,5,5,33,16,16, ,6,45,16,15,1,6,26,11,18,3,7,11,21,13,3,10
2018-10-30,49,11,31,3,10,28,29,13,2,3,30,22,15,2,4,,,,,,37,18,28,5,9,21,28,23,4,9,28,9,26, ,9,26,11,30,5,6,12,24,20, ,5,27,28,18,1,5,32,23,19,3,7,14,24,20,3,10
2018-10-29,40,11,27,2,9,18,30,6,2,2,23,19,11,2,4,,,,,,25,17,21,5,8,16,24,17,4,9,21,13,18, ,6,20,11,20,5,4,18,19,14, ,3,35,21,10,1,4,24,20,11,3,7,14,25,13,3,10
2018-10-28,40,6,25,2,10,22,20,7,2,2,23,19,9,1,4,,,,,,29,12,17,5,8,21,21,12,3,8,24,6,16, ,6,26,6,16,5,4,15,17,9, ,2,21,19,8,1,5,34,16,7,3,6,16,22,9,3,10
2018-10-27,43,7,22,2,10,24,27,4,2,2,31,5,18,1,6,,,,,,36,16,15,5,9,27,26,12,3,9,32,9,16, ,9,31,7,16,5,4,20,20,8, ,4,29,24,7,1,5,44,21,8,3,7,24,25,9,3,10
2018-10-26,26,4,21,2,9,13,16,8,2,3,15,19,13,1,4,,,,,,19,3,22,5,9,14,10,17,3,10,17,5,17, ,8,19,4,22,5,6,21,4,16, ,6,37,13,12,1,5,18,6,16,3,8,13,14,16,3,11
2018-10-25,17,12,21,2,7,8,20,9,2,2,10,27,9,1,3,,,,,,11,15,18,5,8,11,18,17,3,8,13,9,15, ,6,10,12,17,5,3,14,13,16, ,3,17,16,12,1,4,11,15,10,3,6,9,16,14,3,9
2018-10-24,22,17,17,2,6,16,25,5,2,2,9,28,3,1,3,,,,,,12,23,15,5,7,8,24,17,3,6,12,13,13, ,4,9,17,13,5,3,7,21,13, ,2,13,21,11, ,4,12,24,8,3,4,7,22,13,3,9
2018-10-23,25,20,11,2,5,21,27,2,2,1,18,25,4,1,3,,,,,,17,23,7,4,7,17,27,8,2,6,16,15,9, ,4,18,20,7,4,2,8,23,7, ,1,15,24,6, ,3,18,29,4,3,3,15,26,5,3,8
2018-10-22,24,19,9,2,5,16,27,3,2,2,18,24,6,2,4,,,,,,18,23,8,4,8,17,27,7,3,7,15,16,8, ,4,17,19,6,4,3,18,21,8, ,2,23,22,7, ,4,22,24,6,3,4,14,25,5,3,9
2018-10-21,29,16,13,2,6,20,26,5,2,2,14,23,4,1,4,,,,,,21,20,12,4,8,15,24,12,3,7,13,13,11, ,4,15,16,15,4,3,15,29,10, ,2,23,20,11,1,4,23,22,11,3,4,13,24,9,3,9
2018-10-20,53,18,10,2,5,44,26,3,1,2,43,31,11,1,6,,,,,,52,19,13,5,9,42,22,12,3,7,39,13,11, ,4,41,18,11,5,3,12,16,11, ,3,19,18,11, ,4,47,20,9,3,4,32,23,6,3,9
2018-10-19,59,23,17,2,7,50,31,6,1,3,56,9,27,2,8,,,,,,67,26,18,5,12,52,29,19,4,10,47,16,16, ,6,53,23,18,5,5,35,24,13, ,7,43,25,17,1,6,58,28,12,3,7,40,33,12,3,11
2018-10-18,73,5,30,3,9,52,11,16,2,5,56,21,25,2,7,,,,,,65,1,36,5,12,57,1,35,5,13,46, ,27, ,9,56,5,32,5,6,44,2,25, ,13,48,1,30,1,9,58,3,27,4,9,36,9,31,4,13
2018-10-17,62,10,35,3,9,54,16,19,2,5,48,35,22,3,6,,,,,,66,10,40,5,11,44,16,36,4,11,43,6,30, ,9,53,10,32,5,6,45,13,28, ,10,48,14,33,2,7,45,13,35,4,9,33,24,31,4,11
2018-10-16,57,13,38,3,9,47,34,19,3,5,52,27,24,2,6,,,,,,73,22,39,6,9,46,39,23,5,8,45,11,29, ,7,55,13,29,6,5,38,31,25,1,7,50,36,20,2,5,49,38,20,5,6, ,40,20,5,10
2018-10-15,56,10,39,3,9,45,27,19,2,5,45,31,20,2,6,,,,,,69,18,35,6,10,42,30,25,4,9,42,8,31, ,9,49,10,30,6,7,40,30,24, ,9,52,33,22,2,5,47,33,23,4,7, ,36,22,4,10
2018-10-14,45,13,33,3,8,37,30,14,2,4,39,33,16,2,6,,,,,,62,21,35,5,10,36,34,25,4,8,36,11,28, ,8,38,13,28,5,6,34,28,20, ,8,52,35,20,1,6,42,36,22,3,7, ,36,20,3,8
2018-10-13,54,18,27,3,7,70,38,9,2,3,47,32,21,2,6,,,,,,58,25,28,5,10,44,38,19,4,7,43,16,24, ,7,44,18,23,5,5,31,31,15, ,6,51,37,17,1,5,50,38,17,3,6, ,39,13,3,7
2018-10-12,58,19,29,2,7,49,25,11,1,4,50,33,21,2,6,,,,,,63,30,31,5,10,48,37,27,4,9,48,14,27, ,9,52,19,26,5,5,35,29,20, ,9,56,36,23,1,6,56,33,23,3,7, ,40,22,3,8
2018-10-11,55,17,30,3,7,39,32,14,2,4,39,31,18,1,4,,,,,,56,28,33,5,10,35,38,26,4,9,39,14,30, ,8,40,17,27,5,6,35,27,21, ,8,60,37,23,1,6,41,35,22,3,7, ,41,24,3,8
2018-10-10,53,15,30,3,7,46,31,13,1,4,47,33,18,2,5,,,,,,57,25,30,5,10,43,36,22,4,7,42,9,29, ,8,44,15,25,5,5,27,29,18, ,6,48,33,21,1,5,49,32,19,3,6, ,37,18,3,7
